year,month,era,key_event,category,mental_state,intensity,source,track_theme,_themes_list,matched_themes,matched_tracks,n_tracks,event_coef_mean,event_coef_median,event_coef_min,event_coef_max,matched_themes_str,matched_tracks_str
2004,11,College Dropout Era,Recording Late Registration begins,music,creative_peak,4,Pitchfork,"intro, start","['intro', 'start']","['intro', 'start']","[{'track': np.float64(21.0), 'coef': 84.0}, {'track': np.float64(0.0), 'coef': 81.0}]",2,82.5,82.5,81.0,84.0,"intro, start",21.0 (84.000); 0.0 (81.000)
2004,12,College Dropout Era,Studio sessions continue,music,creative_peak,3,-- ,"new stage, overcoming difficulties, system","['new stage', 'overcoming difficulties', 'system']","['new stage', 'overcoming difficulties', 'system']","[{'track': np.float64(37.0), 'coef': 84.0}, {'track': np.float64(92.0), 'coef': 83.0}, {'track': np.float64(42.0), 'coef': 76.0}, {'track': np.float64(52.0), 'coef': 76.0}]",4,79.75,79.5,76.0,84.0,"new stage, overcoming difficulties, system",37.0 (84.000); 92.0 (83.000); 42.0 (76.000); 52.0 (76.000)
2005,1,Late Registration Era,Work intensifies on album,music,creative_peak,4,Pitchfork,"grind, persistence, momentum","['grind', 'persistence', 'momentum']","['grind', 'persistence', 'momentum']","[{'track': np.float64(133.0), 'coef': 84.0}, {'track': np.float64(219.0), 'coef': 40.0}]",2,62.0,62.0,40.0,84.0,"grind, persistence, momentum",133.0 (84.000); 219.0 (40.000)
2005,2,Late Registration Era,Collaboration with Jon Brion,music,creative_peak,4,Billboard,"struggle, revelation, duality","['struggle', 'revelation', 'duality']","['struggle', 'revelation', 'duality']","[{'track': np.float64(68.0), 'coef': 91.0}, {'track': np.float64(130.0), 'coef': 84.0}, {'track': np.float64(135.0), 'coef': 84.0}, {'track': np.float64(7.0), 'coef': 81.0}, {'track': np.float64(121.0), 'coef': 77.0}, {'track': np.float64(87.0), 'coef': 74.0}, {'track': np.float64(90.0), 'coef': 74.0}, {'track': np.float64(149.0), 'coef': 59.0}, {'track': np.float64(151.0), 'coef': 59.0}, {'track': np.float64(160.0), 'coef': 59.0}, {'track': np.float64(137.0), 'coef': 54.0}, {'track': np.float64(144.0), 'coef': 54.0}, {'track': np.float64(175.0), 'coef': 46.0}, {'track': np.float64(187.0), 'coef': 46.0}, {'track': np.float64(191.0), 'coef': 43.0}, {'track': np.float64(203.0), 'coef': 43.0}]",16,64.25,59.0,43.0,91.0,"struggle, revelation, duality",68.0 (91.000); 130.0 (84.000); 135.0 (84.000); 7.0 (81.000); 121.0 (77.000); 87.0 (74.000); 90.0 (74.000); 149.0 (59.000); 151.0 (59.000); 160.0 (59.000); 137.0 (54.000); 144.0 (54.000); 175.0 (46.000); 187.0 (46.000); 191.0 (43.000); 203.0 (43.000)
2005,3,Late Registration Era,Touch the Sky concept begins,music,creative_peak,3,RollingStone,"danger, impact, unpredictability","['danger', 'impact', 'unpredictability']","['danger', 'impact', 'unpredictability']","[{'track': np.float64(215.0), 'coef': 40.0}]",1,40.0,40.0,40.0,40.0,"danger, impact, unpredictability",215.0 (40.000)
2005,4,Late Registration Era,First fashion statements,fashion,neutral,2,Vogue,"flexing, style, ego","['flexing', 'style', 'ego']","['flexing', 'style', 'ego']","[{'track': np.float64(69.0), 'coef': 91.0}, {'track': np.float64(72.0), 'coef': 91.0}, {'track': np.float64(131.0), 'coef': 84.0}, {'track': np.float64(47.0), 'coef': 76.0}, {'track': np.float64(48.0), 'coef': 76.0}, {'track': np.float64(122.0), 'coef': 65.0}, {'track': np.float64(124.0), 'coef': 65.0}, {'track': np.float64(155.0), 'coef': 59.0}, {'track': np.float64(172.0), 'coef': 59.0}, {'track': np.float64(177.0), 'coef': 46.0}, {'track': np.float64(189.0), 'coef': 46.0}, {'track': np.float64(190.0), 'coef': 43.0}, {'track': np.float64(201.0), 'coef': 43.0}, {'track': np.float64(204.0), 'coef': 43.0}]",14,63.357142857142854,62.0,43.0,91.0,"flexing, style, ego",69.0 (91.000); 72.0 (91.000); 131.0 (84.000); 47.0 (76.000); 48.0 (76.000); 122.0 (65.000); 124.0 (65.000); 155.0 (59.000); 172.0 (59.000); 177.0 (46.000); 189.0 (46.000); 190.0 (43.000); 201.0 (43.000); 204.0 (43.000)
2005,5,Late Registration Era,Public confidence grows,public,mania_like,3,Guardian,"vulnerability, confession, identity","['vulnerability', 'confession', 'identity']","['vulnerability', 'confession', 'identity']","[{'track': np.float64(78.0), 'coef': 91.0}, {'track': np.float64(79.0), 'coef': 91.0}, {'track': np.float64(105.0), 'coef': 77.0}, {'track': np.float64(106.0), 'coef': 77.0}, {'track': np.float64(119.0), 'coef': 77.0}, {'track': np.float64(66.0), 'coef': 74.0}, {'track': np.float64(128.0), 'coef': 65.0}, {'track': np.float64(166.0), 'coef': 59.0}, {'track': np.float64(181.0), 'coef': 46.0}, {'track': np.float64(191.0), 'coef': 43.0}, {'track': np.float64(195.0), 'coef': 43.0}, {'track': np.float64(213.0), 'coef': 40.0}, {'track': np.float64(221.0), 'coef': 40.0}]",13,63.30769230769231,65.0,40.0,91.0,"vulnerability, confession, identity",78.0 (91.000); 79.0 (91.000); 105.0 (77.000); 106.0 (77.000); 119.0 (77.000); 66.0 (74.000); 128.0 (65.000); 166.0 (59.000); 181.0 (46.000); 191.0 (43.000); 195.0 (43.000); 213.0 (40.000); 221.0 (40.000)
2005,6,Late Registration Era,Diamonds from Sierra Leone released,music,public_controversy,4,NYTimes,"trauma, poverty, freedom","['trauma', 'poverty', 'freedom']","['trauma', 'poverty', 'freedom']","[{'track': np.float64(39.0), 'coef': 84.0}, {'track': np.float64(6.0), 'coef': 81.0}, {'track': np.float64(7.0), 'coef': 81.0}, {'track': np.float64(17.0), 'coef': 81.0}, {'track': np.float64(104.0), 'coef': 77.0}, {'track': np.float64(111.0), 'coef': 77.0}, {'track': np.float64(83.0), 'coef': 74.0}, {'track': np.float64(127.0), 'coef': 65.0}, {'track': np.float64(150.0), 'coef': 59.0}, {'track': np.float64(153.0), 'coef': 59.0}]",10,73.8,77.0,59.0,84.0,"trauma, poverty, freedom",39.0 (84.000); 6.0 (81.000); 7.0 (81.000); 17.0 (81.000); 104.0 (77.000); 111.0 (77.000); 83.0 (74.000); 127.0 (65.000); 150.0 (59.000); 153.0 (59.000)
2005,7,Late Registration Era,Live performances,music,neutral,2,-- ,"drugs, addiction, music, criticism of the authorities","['drugs', 'addiction', 'music', 'criticism of the authorities']","['drugs', 'addiction', 'music', 'criticism of the authorities']","[{'track': np.float64(27.0), 'coef': 84.0}, {'track': np.float64(28.0), 'coef': 84.0}, {'track': np.float64(31.0), 'coef': 84.0}, {'track': np.float64(96.0), 'coef': 83.0}, {'track': np.float64(1.0), 'coef': 81.0}, {'track': np.float64(6.0), 'coef': 81.0}, {'track': np.float64(13.0), 'coef': 81.0}]",7,82.57142857142857,83.0,81.0,84.0,"drugs, addiction, music, criticism of the authorities",27.0 (84.000); 28.0 (84.000); 31.0 (84.000); 96.0 (83.000); 1.0 (81.000); 6.0 (81.000); 13.0 (81.000)
2005,8,Late Registration Era,Release of Late Registration,music,joy,5,Billboard,"college expulsion, drug propaganda","['college expulsion', 'drug propaganda']","['college expulsion', 'drug propaganda']","[{'track': np.float64(2.0), 'coef': 81.0}]",1,81.0,81.0,81.0,81.0,"college expulsion, drug propaganda",2.0 (81.000)
2005,9,Late Registration Era,Katrina “George Bush hates Black people” moment,public,angry,5,NBC,"violence, growth, Black success","['violence', 'growth', 'black success']","['violence', 'growth', 'black success']","[{'track': np.float64(130.0), 'coef': 84.0}, {'track': np.float64(89.0), 'coef': 74.0}]",2,79.0,79.0,74.0,84.0,"violence, growth, black success",130.0 (84.000); 89.0 (74.000)
2005,10,Late Registration Era,Massive fame spike,public,mania_like,4,Variety,"chaos, fame, consequences","['chaos', 'fame', 'consequences']","['chaos', 'fame', 'consequences']","[{'track': np.float64(67.0), 'coef': 91.0}, {'track': np.float64(69.0), 'coef': 91.0}, {'track': np.float64(71.0), 'coef': 91.0}, {'track': np.float64(33.0), 'coef': 84.0}, {'track': np.float64(129.0), 'coef': 84.0}, {'track': np.float64(105.0), 'coef': 77.0}, {'track': np.float64(119.0), 'coef': 77.0}, {'track': np.float64(109.0), 'coef': 77.0}, {'track': np.float64(106.0), 'coef': 77.0}, {'track': np.float64(50.0), 'coef': 76.0}, {'track': np.float64(53.0), 'coef': 76.0}, {'track': np.float64(87.0), 'coef': 74.0}, {'track': np.float64(66.0), 'coef': 74.0}, {'track': np.float64(181.0), 'coef': 46.0}, {'track': np.float64(199.0), 'coef': 43.0}, {'track': np.float64(200.0), 'coef': 43.0}, {'track': np.float64(201.0), 'coef': 43.0}, {'track': np.float64(209.0), 'coef': 40.0}, {'track': np.float64(213.0), 'coef': 40.0}]",19,68.63157894736842,76.0,40.0,91.0,"chaos, fame, consequences",67.0 (91.000); 69.0 (91.000); 71.0 (91.000); 33.0 (84.000); 129.0 (84.000); 105.0 (77.000); 119.0 (77.000); 109.0 (77.000); 106.0 (77.000); 50.0 (76.000); 53.0 (76.000); 87.0 (74.000); 66.0 (74.000); 181.0 (46.000); 199.0 (43.000); 200.0 (43.000); 201.0 (43.000); 209.0 (40.000); 213.0 (40.000)
2005,11,Late Registration Era,Tours intensify,music,creative_peak,4,Billboard,"exploration, escape, adventure","['exploration', 'escape', 'adventure']","['exploration', 'escape', 'adventure']","[{'track': np.float64(39.0), 'coef': 84.0}, {'track': np.float64(81.0), 'coef': 74.0}, {'track': np.float64(159.0), 'coef': 59.0}, {'track': np.float64(208.0), 'coef': 40.0}]",4,64.25,66.5,40.0,84.0,"exploration, escape, adventure",39.0 (84.000); 81.0 (74.000); 159.0 (59.000); 208.0 (40.000)
2005,12,Late Registration Era,Grammy nominations,music,joy,5,Grammy,"rap, gangsters","['rap', 'gangsters']","['rap', 'gangsters']","[{'track': np.float64(14.0), 'coef': 81.0}]",1,81.0,81.0,81.0,81.0,"rap, gangsters",14.0 (81.000)
2006,1,Graduation Pre-Era,Beginning early Graduation sessions,music,creative_peak,3,Pitchfork,"relationships, respect, mentoring, self-recognition","['relationships', 'respect', 'mentoring', 'self-recognition']","['relationships', 'respect', 'mentoring', 'self-recognition']","[{'track': np.float64(98.0), 'coef': 83.0}, {'track': np.float64(115.0), 'coef': 77.0}, {'track': np.float64(117.0), 'coef': 77.0}, {'track': np.float64(120.0), 'coef': 77.0}, {'track': np.float64(47.0), 'coef': 76.0}, {'track': np.float64(48.0), 'coef': 76.0}, {'track': np.float64(50.0), 'coef': 76.0}, {'track': np.float64(53.0), 'coef': 76.0}, {'track': np.float64(54.0), 'coef': 76.0}, {'track': np.float64(86.0), 'coef': 74.0}]",10,76.8,76.0,74.0,83.0,"relationships, respect, mentoring, self-recognition",98.0 (83.000); 115.0 (77.000); 117.0 (77.000); 120.0 (77.000); 47.0 (76.000); 48.0 (76.000); 50.0 (76.000); 53.0 (76.000); 54.0 (76.000); 86.0 (74.000)
2006,2,Graduation Pre-Era,Fashion interest grows,fashion,neutral,2,Vogue,"fast pace of life, success, luxury, control","['fast pace of life', 'success', 'luxury', 'control']","['fast pace of life', 'success', 'luxury', 'control']","[{'track': np.float64(26.0), 'coef': 84.0}, {'track': np.float64(34.0), 'coef': 84.0}, {'track': np.float64(37.0), 'coef': 84.0}, {'track': np.float64(9.0), 'coef': 81.0}, {'track': np.float64(108.0), 'coef': 77.0}, {'track': np.float64(111.0), 'coef': 77.0}, {'track': np.float64(46.0), 'coef': 76.0}, {'track': np.float64(47.0), 'coef': 76.0}, {'track': np.float64(48.0), 'coef': 76.0}, {'track': np.float64(59.0), 'coef': 74.0}, {'track': np.float64(61.0), 'coef': 74.0}, {'track': np.float64(81.0), 'coef': 74.0}, {'track': np.float64(82.0), 'coef': 74.0}, {'track': np.float64(83.0), 'coef': 74.0}, {'track': np.float64(182.0), 'coef': 46.0}, {'track': np.float64(192.0), 'coef': 43.0}]",16,73.375,76.0,43.0,84.0,"fast pace of life, success, luxury, control",26.0 (84.000); 34.0 (84.000); 37.0 (84.000); 9.0 (81.000); 108.0 (77.000); 111.0 (77.000); 46.0 (76.000); 47.0 (76.000); 48.0 (76.000); 59.0 (74.000); 61.0 (74.000); 81.0 (74.000); 82.0 (74.000); 83.0 (74.000); 182.0 (46.000); 192.0 (43.000)
2006,3,Graduation Pre-Era,Public clashes with paparazzi begin,public,chaotic,3,TMZ,"conflict, reputation, pressure","['conflict', 'reputation', 'pressure']","['conflict', 'reputation', 'pressure']","[{'track': np.float64(30.0), 'coef': 84.0}, {'track': np.float64(33.0), 'coef': 84.0}, {'track': np.float64(41.0), 'coef': 84.0}, {'track': np.float64(56.0), 'coef': 74.0}, {'track': np.float64(91.0), 'coef': 74.0}, {'track': np.float64(148.0), 'coef': 59.0}, {'track': np.float64(154.0), 'coef': 59.0}, {'track': np.float64(156.0), 'coef': 59.0}, {'track': np.float64(170.0), 'coef': 59.0}, {'track': np.float64(138.0), 'coef': 54.0}, {'track': np.float64(189.0), 'coef': 46.0}, {'track': np.float64(193.0), 'coef': 43.0}, {'track': np.float64(198.0), 'coef': 43.0}]",13,63.23076923076923,59.0,43.0,84.0,"conflict, reputation, pressure",30.0 (84.000); 33.0 (84.000); 41.0 (84.000); 56.0 (74.000); 91.0 (74.000); 148.0 (59.000); 154.0 (59.000); 156.0 (59.000); 170.0 (59.000); 138.0 (54.000); 189.0 (46.000); 193.0 (43.000); 198.0 (43.000)
2006,4,Graduation Pre-Era,Touch the Sky tour,music,creative_peak,4,Billboard,"exploration, escape, adventure","['exploration', 'escape', 'adventure']","['exploration', 'escape', 'adventure']","[{'track': np.float64(39.0), 'coef': 84.0}, {'track': np.float64(81.0), 'coef': 74.0}, {'track': np.float64(159.0), 'coef': 59.0}, {'track': np.float64(208.0), 'coef': 40.0}]",4,64.25,66.5,40.0,84.0,"exploration, escape, adventure",39.0 (84.000); 81.0 (74.000); 159.0 (59.000); 208.0 (40.000)
2006,5,Graduation Pre-Era,Grammy wins,music,joy,5,Grammy,"triumph, celebration","['triumph', 'celebration']","['triumph', 'celebration']","[{'track': np.float64(37.0), 'coef': 84.0}, {'track': np.float64(20.0), 'coef': 81.0}, {'track': np.float64(111.0), 'coef': 77.0}, {'track': np.float64(46.0), 'coef': 76.0}, {'track': np.float64(52.0), 'coef': 76.0}, {'track': np.float64(180.0), 'coef': 46.0}, {'track': np.float64(187.0), 'coef': 46.0}]",7,69.42857142857143,76.0,46.0,84.0,"triumph, celebration",37.0 (84.000); 20.0 (81.000); 111.0 (77.000); 46.0 (76.000); 52.0 (76.000); 180.0 (46.000); 187.0 (46.000)
2006,6,Graduation Pre-Era,Studio experimentation,music,creative_peak,3,RollingStone,sample,['sample'],['sample'],"[{'track': np.float64(25.0), 'coef': 84.0}, {'track': np.float64(32.0), 'coef': 84.0}, {'track': np.float64(35.0), 'coef': 84.0}, {'track': np.float64(38.0), 'coef': 84.0}]",4,84.0,84.0,84.0,84.0,sample,25.0 (84.000); 32.0 (84.000); 35.0 (84.000); 38.0 (84.000)
2006,7,Graduation Pre-Era,Relationship turmoil begins,personal,stress,3,Guardian,"blame, dysfunction, heartbreak","['blame', 'dysfunction', 'heartbreak']","['blame', 'dysfunction', 'heartbreak']","[{'track': np.float64(77.0), 'coef': 91.0}, {'track': np.float64(99.0), 'coef': 83.0}, {'track': np.float64(17.0), 'coef': 81.0}, {'track': np.float64(57.0), 'coef': 74.0}, {'track': np.float64(63.0), 'coef': 74.0}, {'track': np.float64(148.0), 'coef': 59.0}, {'track': np.float64(176.0), 'coef': 46.0}, {'track': np.float64(185.0), 'coef': 46.0}, {'track': np.float64(194.0), 'coef': 43.0}, {'track': np.float64(217.0), 'coef': 40.0}]",10,63.7,66.5,40.0,91.0,"blame, dysfunction, heartbreak",77.0 (91.000); 99.0 (83.000); 17.0 (81.000); 57.0 (74.000); 63.0 (74.000); 148.0 (59.000); 176.0 (46.000); 185.0 (46.000); 194.0 (43.000); 217.0 (40.000)
