tweet_id,text,favorite_count,retweet_count,user_id,user_name,user_screen_name,followers_count,cleaned_text,emotion,date,time,emotion_clean,Emotion,Valence,Arousal,Emotion_clean,TweetEmotionScore
22,One of my favorite artists Lana Del Rey’s new album.,54156.0,39083,169686021,,,,one favorite artists lana del reys new album,Inspiration,18.06.2014,04:29:51,inspiration,inspiration,85,75,inspiration,71.77
23,"KENDRICK IS AN INSPIRATION.  THANK YOU FOR THE VIBRATIONS AND THE SPIRIT. YOUR MEANING, MESSAGE AND EXECUTION ARE GIFTS TO THE WORLD.",129868.0,107254,169686021,,,,kendrick inspiration thank vibrations spirit meaning message execution gifts world,Anxiety,17.03.2015,01:02:06,anxiety,anxiety,25,70,anxiety,1.9599999999999995
24,9th   It felt like a seen from The Warriors     ALL GODS   ALL GODS ALL GODS in the buildin,25193.0,11821,169686021,,,,th felt like seen warriors gods gods gods buildin,Confidence,12.02.2016,14:12:39,confidence,confidence,70,60,confidence,35.92000000000001
25,I'm sitting with Lucian discussing the future of the music industry. Lets bring in David Joseph and Frank Bridgman and Olivier Nusse.,13506.0,1198,169686021,ye,kanyewest,29337530.0,im sitting lucian discussing future music industry lets bring david joseph frank bridgman olivier nusse,Defiance,25.04.2018,20:24:14,defiance,defiance,40,85,defiance,37.809999999999995
26,I have no more handlers     Only fear god,27994.0,4605,169686021,ye,kanyewest,29511535.0,handlers fear god,Pride,15.12.2018,13:11:24,pride,pride,65,70,pride,44.04
27,I’m your oxygen,71182.0,27233,169686021,ye,kanyewest,29337530.0,im oxygen,Confidence,14.12.2018,02:57:56,confidence,confidence,70,60,confidence,35.42000000000001
28,I’m a man about my family and integrity,47420.0,6423,169686021,ye,kanyewest,29337530.0,im man family integrity,Neutral,14.12.2018,06:02:54,neutral,neutral,50,40,neutral,-14.38
29,"4. LAWYERS 

the first thing that changes about Record Deals is actually lawyers.

We need Plain English contracts.…",27481.0,3997,169686021,ye,kanyewest,30970789.0,lawyers first thing changes record deals actually lawyers need plain english contracts,Confidence,20.09.2020,17:33:09,confidence,confidence,70,60,confidence,35.92000000000001
30,Trust God,48364.0,6564,169686021,ye,kanyewest,30907119.0,trust god,Frustration,17.07.2020,12:57:19,frustration,frustration,30,75,frustration,13.86
31,This clout shit done got outta hand bro,41642.0,8947,169686021,ye,kanyewest,29337530.0,clout shit done got outta hand bro,Frustration,14.12.2018,04:30:57,frustration,frustration,30,75,frustration,13.409999999999998
32,He be texting people I know like it’s cool     But won’t sit and talk with me,26280.0,4136,169686021,ye,kanyewest,29337530.0,texting people know like cool wont sit talk,Inspiration,14.12.2018,02:56:19,inspiration,inspiration,85,75,inspiration,71.77
33,"Pro-“LIFE”- eration, redemption, reparation, (attaching new tissue organically, rebuilding
Maturation:
     -  the…",9027.0,737,169686021,ye,kanyewest,32253242.0,prolife eration redemption reparation attaching new tissue organically rebuilding maturation,Inspiration,18.10.2020,18:33:44,inspiration,inspiration,85,75,inspiration,71.77
34,spend as much time outside as possible     fresh air is healing,156983.0,38976,169686021,ye,kanyewest,29337530.0,spend much time outside possible fresh air healing,Disappointment,21.08.2018,20:54:07,disappointment,disappointment,35,45,disappointment,-22.970000000000002
35,De La Soul can’t even get their music on iTunes,31226.0,3357,169686021,ye,kanyewest,31006121.0,de la soul cant even get music itunes,Admiration,16.09.2020,02:01:13,admiration,admiration,75,55,admiration,34.49
36,STEVE RIFKIND PULLING UP TO CHANGE THE MUSIC GAME FOREVER,30238.0,1532,169686021,ye,kanyewest,30970556.0,steve rifkind pulling change music game forever,Confidence,19.09.2020,15:46:28,confidence,confidence,70,60,confidence,35.92000000000001
37,All artists have a problem with it and I am going to fix it for us all starting right now.,14230.0,5014,169686021,,,,artists problem going fix us starting right,Frustration,24.02.2016,18:35:43,frustration,frustration,30,75,frustration,13.909999999999998
38,and I have encountered countless amounts of bigotry along the way.,9515.0,5003,169686021,,,,encountered countless amounts bigotry along way,Admiration,20.02.2015,15:47:19,admiration,admiration,75,55,admiration,33.99
39,Hi @WBeirendonck  Virgil can do whatever he wants      Do you know how hard it’s been for us to be recognized? Coming from Chicago?,20020.0,1252,169686021,ye,kanyewest,30905763.0,hi wbeirendonck virgil whatever wants know hard us recognized coming chicago,Sarcasm,12.08.2020,03:59:40,sarcasm,sarcasm,40,50,sarcasm,-13.020000000000001
40,Another twitter tirade before bedtime,30071.0,1950,169686021,ye,kanyewest,30905763.0,another twitter tirade bedtime,Inspiration,15.08.2020,04:29:29,inspiration,inspiration,85,75,inspiration,71.27
41,Would love to go on Joe Rogan’s podcast LIVE this week      I have my team trying to get your number    Joe I’m in…,112926.0,11654,169686021,ye,kanyewest,32253242.0,would love go joe rogans podcast live week team trying get number joe im,Defiance,12.10.2020,15:48:54,defiance,defiance,40,85,defiance,37.809999999999995
42,Nobody scared of anything,22168.0,3662,169686021,ye,kanyewest,29337530.0,nobody scared anything,Neutral,14.12.2018,03:21:11,neutral,neutral,50,40,neutral,-14.38
43,So many of us need so much less than we have especially when so many of us are in need,93713.0,9643,169686021,ye,kanyewest,32253242.0,many us need much less especially many us need,Confidence,03.11.2020,04:19:17,confidence,confidence,70,60,confidence,35.42000000000001
44,I’m very detailed oriented and I will know the difference so don’t try to just throw a bow on the original head…,41073.0,19416,169686021,,,,im detailed oriented know difference dont try throw bow original head,Optimism,02.03.2016,18:41:00,optimism,optimism,80,65,optimism,53.129999999999995
45,We will heal,54589.0,6388,169686021,ye,kanyewest,32253242.0,heal,Neutral,28.10.2020,18:11:02,neutral,neutral,50,40,neutral,-14.38
46,if you wanna see the true character of person watch the way they treat someone who can't do anything for them.,496161.0,218057,169686021,ye,kanyewest,29337530.0,wanna see true character person watch way treat someone cant anything,Inspiration,19.04.2018,00:12:05,inspiration,inspiration,85,75,inspiration,70.77
47,the world is the new art school,61968.0,12969,169686021,ye,kanyewest,29337530.0,world new art school,Admiration,28.08.2018,20:57:47,admiration,admiration,75,55,admiration,33.49
48,I really appreciate this dialogue with John Legend because I'm actually very empathetic. Im still the kid from the…,36066.0,3529,169686021,ye,kanyewest,29337530.0,really appreciate dialogue john legend im actually empathetic im still kid,Confidence,26.04.2018,17:18:35,confidence,confidence,70,60,confidence,35.92000000000001
49,I've got a new challenge for everyone today. Pick somebody that you had an argument with that you think you hate ma…,189774.0,49498,169686021,ye,kanyewest,29337530.0,ive got new challenge everyone today pick somebody argument think hate,Inspiration,28.04.2018,17:15:54,inspiration,inspiration,85,75,inspiration,71.77
50,I speak yell scream directly at the old guard on behalf of the future.,10549.0,2812,169686021,,,,speak yell scream directly old guard behalf future,Defiance,22.03.2016,23:40:52,defiance,defiance,40,85,defiance,37.309999999999995
51,They had to get the merch first,116270.0,14131,169686021,ye,kanyewest,32253242.0,get merch first,Confidence,08.10.2020,05:09:57,confidence,confidence,70,60,confidence,35.42000000000001
52,Ima take these down cause it’s all about positive energy    blessings  blessings    positive energy blessings,64461.0,36673,169686021,,,,ima take cause positive energy blessings blessings positive energy blessings,Inspiration,27.01.2016,20:37:42,inspiration,inspiration,85,75,inspiration,71.27
53,I’m giving all Good music artist back the 50% share I have of their masters,155756.0,16806,169686021,ye,kanyewest,32262956.0,im giving good music artist back share masters,Pride,23.09.2020,19:04:15,pride,pride,65,70,pride,44.04
54,YE24 LOVE EVERYONE  #LOVESPEECH,0.0,0,169686021,ye,kanyewest,32253168.0,ye love everyone lovespeech,Inspiration,02.12.2022,02:34:17,inspiration,inspiration,85,75,inspiration,71.77
55,Plan A logo 🕊,13695.0,879,169686021,ye,kanyewest,30905763.0,plan logo,Confidence,15.08.2020,04:14:58,confidence,confidence,70,60,confidence,35.92000000000001
56,I don't believe in the concept of an enemy. We have been conditioned to always be in competition. Stop looking for…,200790.0,66772,169686021,ye,kanyewest,29337530.0,dont believe concept enemy conditioned always competition stop looking,Defiance,18.04.2018,15:16:11,defiance,defiance,40,85,defiance,37.809999999999995
57,REBORN YE24,0.0,0,169686021,ye,kanyewest,32252364.0,reborn ye,Disappointment,02.12.2022,02:37:14,disappointment,disappointment,35,45,disappointment,-23.970000000000002
58,"…with my brothers Trav, Yasiin and Nabil",10996.0,6088,169686021,,,,brothers trav yasiin nabil,Inspiration,31.10.2015,03:00:36,inspiration,inspiration,85,75,inspiration,71.77
59,My mother in law Kris Jenner ... makes the best music playlist 😊,193078.0,11338,169686021,ye,kanyewest,30905763.0,mother law kris jenner makes best music playlist,Frustration,11.08.2020,12:57:07,frustration,frustration,30,75,frustration,13.909999999999998
60,just on CNBC like...,57057.0,7822,169686021,,,,cnbc like,Neutral,20.08.2018,20:48:48,neutral,neutral,50,40,neutral,-14.88
61,FAMILY,312827.0,26048,169686021,ye,kanyewest,32258710.0,family,Confidence,03.11.2022,20:29:58,confidence,confidence,70,60,confidence,35.720000000000006
62,I will never put negative energy into a song,45083.0,5219,169686021,ye,kanyewest,29337530.0,never put negative energy song,Admiration,14.12.2018,03:47:15,admiration,admiration,75,55,admiration,33.99
63,2019 we’re already so thankful for the blessings in order,29850.0,8275,169686021,ye,kanyewest,29792507.0,already thankful blessings order,Confidence,31.12.2018,03:52:35,confidence,confidence,70,60,confidence,34.92000000000001
64,Praying for Armenia     Praying for Breonna Taylor’s family  Praying for a world ravaged by the pandemic   Praying…,0.0,0,169686021,ye,kanyewest,30995028.0,praying armenia praying breonna taylors family praying world ravaged pandemic praying,Optimism,29.09.2020,04:50:27,optimism,optimism,80,65,optimism,53.129999999999995
65,Guns n Roses or Nirvana 🤔 both my favorite,44672.0,3096,169686021,ye,kanyewest,30905763.0,guns n roses nirvana favorite,Inspiration,15.08.2020,04:21:42,inspiration,inspiration,85,75,inspiration,71.77
66,I was told that if I expose the truth of the bad business practices everything is gonna be taken from me     Includ…,71109.0,8263,169686021,ye,kanyewest,32258710.0,told expose truth bad business practices everything gonna taken includ,Inspiration,03.11.2022,22:45:12,inspiration,inspiration,85,75,inspiration,71.77
67,Trust God,34447.0,9777,169686021,ye,kanyewest,29337530.0,trust god,Confidence,14.12.2018,03:17:50,confidence,confidence,70,60,confidence,35.87000000000001
68,"I am so proud of my beautiful wife Kim Kardashian West for officially becoming a billionaire 

You’ve weathered the…",158322.0,14499,169686021,ye,kanyewest,30798949.0,proud beautiful wife kim kardashian west officially becoming billionaire youve weathered,Confidence,30.06.2020,00:48:56,confidence,confidence,70,60,confidence,35.92000000000001
69,Bari I appreciate your perspective and vision. You brought me closer to Rocky too. Jedis never let perception and c…,9614.0,1116,169686021,ye,kanyewest,29337530.0,bari appreciate perspective vision brought closer rocky jedis never let perception c,Neutral,27.09.2018,00:07:08,neutral,neutral,50,40,neutral,-14.88
70,Steve Jobs wanted to lower the cost of textbooks…,38054.0,13340,169686021,,,,steve jobs wanted lower cost textbooks,Defiance,16.02.2016,20:08:03,defiance,defiance,40,85,defiance,37.809999999999995
71,We’re super happy,53757.0,10842,169686021,ye,kanyewest,29792507.0,super happy,Optimism,31.12.2018,03:14:10,optimism,optimism,80,65,optimism,52.629999999999995
72,I know Ariana said this to be cool and didn’t mean no harm but I don’t like even slightest level of slight commenta…,55433.0,8820,169686021,ye,kanyewest,29368668.0,know ariana said cool didnt mean harm dont like even slightest level slight commenta,Inspiration,15.12.2018,12:38:29,inspiration,inspiration,85,75,inspiration,71.77
73,No more fashion calendar... I'm going Mad Max... 6 collections a year...3 albums a year,63436.0,31706,169686021,,,,fashion calendar im going mad max collections year albums year,Neutral,12.03.2016,15:08:26,neutral,neutral,50,40,neutral,-14.88
74,"pharcyde other fish 🐠 playing at SNL

My love recites the lyrics to Passing me By. This is why I know this is my soul mate",7420.0,715,169686021,ye,kanyewest,29337530.0,pharcyde fish playing snl love recites lyrics passing know soul mate,Neutral,27.09.2018,19:34:33,neutral,neutral,50,40,neutral,-14.88
75,please see these next tweets as such because the ideas will jump around a bit… a bit like a mood board...,11251.0,2751,169686021,,,,please see next tweets ideas jump around bit bit like mood board,Inspiration,09.03.2016,00:39:51,inspiration,inspiration,85,75,inspiration,70.77
76,It will be back up shortly.  When it’s back up all rippers please rip the new one instead.,32627.0,16843,169686021,,,,back shortly back rippers please rip new one instead,Inspiration,08.01.2016,18:48:03,inspiration,inspiration,85,75,inspiration,71.77
77,2 of my favorite people,30146.0,2272,169686021,ye,kanyewest,29337530.0,favorite people,Confidence,25.04.2018,22:50:05,confidence,confidence,70,60,confidence,34.92000000000001
78,FTR FNTS,21371.0,1128,169686021,ye,kanyewest,30910621.0,ftr fnts,Neutral,18.07.2020,16:35:54,neutral,neutral,50,40,neutral,-14.780000000000001
79,%1000 Steve Ballmer. Let's meet this week if you have time. I was hanging with Chris Paul last night.,13772.0,3706,169686021,,,,steve ballmer lets meet week time hanging chris paul last night,Defiance,14.03.2016,15:55:04,defiance,defiance,40,85,defiance,37.809999999999995
80,Claudio will be awesome when me and Chance build new homes in Chicago,36574.0,3880,169686021,ye,kanyewest,29337530.0,claudio awesome chance build new homes chicago,Neutral,25.04.2018,22:37:42,neutral,neutral,50,40,neutral,-14.88
81,@Deadmau5 … is this person’s name pronounced dead-mow-five?,45405.0,39014,169686021,,,,deadmau persons name pronounced deadmowfive,Inspiration,02.03.2016,18:30:06,inspiration,inspiration,85,75,inspiration,72.27
82,Daddy daughter time ⛷,191963.0,8888,169686021,ye,kanyewest,30905763.0,daddy daughter time,Inspiration,18.08.2020,00:19:02,inspiration,inspiration,85,75,inspiration,71.27
83,I love this video. Very creative.,21978.0,8414,169686021,,,,love video creative,Neutral,06.06.2016,19:50:39,neutral,neutral,50,40,neutral,-14.88
84,There would never be a drake without a Kanye west so never come out your mouth with a threat,174115.0,57335,169686021,ye,kanyewest,29337530.0,would never drake without kanye west never come mouth threat,Optimism,14.12.2018,03:00:43,optimism,optimism,80,65,optimism,53.129999999999995
85,David Hammons Higher Goals.,13939.0,1439,169686021,,,,david hammons higher goals,Sadness,22.04.2018,18:05:04,sadness,sadness,20,40,sadness,-46.440000000000005
86,And TODAY on ESPN,44456.0,7428,169686021,ye,kanyewest,29337530.0,today espn,Confidence,27.10.2018,16:05:50,confidence,confidence,70,60,confidence,35.92000000000001
87,I love you brother   congratulations,155862.0,24207,169686021,,,,love brother congratulations,Disappointment,22.06.2018,16:59:30,disappointment,disappointment,35,45,disappointment,-23.470000000000002
88,Calling out to Bob Dylan   Let’s get together,77932.0,10400,169686021,ye,kanyewest,29337530.0,calling bob dylan lets get together,Neutral,12.12.2018,20:45:45,neutral,neutral,50,40,neutral,-14.88
89,Everyone has made mistakes. I just make them in public.,100331.0,64574,169686021,,,,everyone made mistakes make public,Sadness,22.03.2016,23:52:35,sadness,sadness,20,40,sadness,-46.440000000000005
90,My bad I meant Shawn ... no disrespect to my big bro,0.0,0,169686021,ye,kanyewest,30911643.0,bad meant shawn disrespect big bro,Inspiration,15.09.2020,00:35:40,inspiration,inspiration,85,75,inspiration,71.77
91,The midterms are extremely important,19000.0,19539,169686021,,,,midterms extremely important,Inspiration,04.11.2014,23:22:20,inspiration,inspiration,85,75,inspiration,71.27
92,need this rug,48844.0,3695,169686021,,,,need rug,Neutral,14.07.2018,18:05:10,neutral,neutral,50,40,neutral,-13.88
93,Or the Mandingo part on Jango,28502.0,4210,169686021,ye,kanyewest,29337530.0,mandingo part jango,Inspiration,14.12.2018,03:16:23,inspiration,inspiration,85,75,inspiration,71.77
94,A VISION JUST CAME TO ME... JESUS TOK        I WAS WATCHING TIK TOK WITH MY DAUGHTER AND AS A CHRISTIAN FATHER I WA…,210580.0,23836,169686021,ye,kanyewest,30905763.0,vision came jesus tok watching tik tok daughter christian father wa,Confidence,17.08.2020,20:31:46,confidence,confidence,70,60,confidence,35.92000000000001
95,we need to be overwhelmed with love and inspiration,121680.0,41365,169686021,ye,kanyewest,29337530.0,need overwhelmed love inspiration,Sadness,10.09.2018,03:21:01,sadness,sadness,20,40,sadness,-45.440000000000005
96,"I'm nobody's ""client""",52704.0,7089,169686021,ye,kanyewest,29337530.0,im nobodys client,Confidence,25.04.2018,14:01:28,confidence,confidence,70,60,confidence,35.42000000000001
97,When you sign a music deal you sign away your rights.  Without the masters you can’t do anything with your own musi…,78184.0,13124,169686021,ye,kanyewest,31006121.0,sign music deal sign away rights without masters cant anything musi,Optimism,16.09.2020,04:48:18,optimism,optimism,80,65,optimism,53.129999999999995
98,I'd like to meet with Tim Cook. I got some ideas,41496.0,4155,169686021,ye,kanyewest,29337530.0,id like meet tim cook got ideas,Inspiration,25.04.2018,20:48:34,inspiration,inspiration,85,75,inspiration,71.77
99,Still my favorite,5823.0,723,169686021,ye,kanyewest,29337530.0,still favorite,Frustration,22.10.2018,09:39:10,frustration,frustration,30,75,frustration,13.409999999999998
100,even the haters     haters are fans too,49857.0,11266,169686021,ye,kanyewest,29792507.0,even haters haters fans,Disappointment,31.12.2018,03:57:55,disappointment,disappointment,35,45,disappointment,-22.970000000000002
101,Ive always said SNL uses black people to hold other black people back         My heart goes out to Issa Rae    I’m…,16548.0,1052,169686021,ye,kanyewest,32253242.0,ive always said snl uses black people hold black people back heart goes issa rae im,Admiration,18.10.2020,13:25:16,admiration,admiration,75,55,admiration,34.49
102,every rapper is somebody’s favorite…,43518.0,24594,169686021,,,,every rapper somebodys favorite,Neutral,17.02.2016,17:33:15,neutral,neutral,50,40,neutral,-13.88
103,Vanessa Beecroft sketch,19014.0,1070,169686021,ye,kanyewest,30762630.0,vanessa beecroft sketch,Admiration,20.12.2019,02:56:31,admiration,admiration,75,55,admiration,34.49
104,quilted velour angel wings,45664.0,2544,169686021,ye,kanyewest,30762630.0,quilted velour angel wings,Curiosity,22.12.2019,00:44:38,curiosity,curiosity,55,55,curiosity,12.450000000000001
105,I will put this in question form     Who has heard of the twelve lost tribes of Judah?  Have you heard that two of…,27211.0,3315,169686021,ye,kanyewest,29460906.0,put question form heard twelve lost tribes judah heard two,Neutral,15.12.2018,13:51:34,neutral,neutral,50,40,neutral,-15.88
106,Vanessa Beecroft,5818.0,585,169686021,ye,kanyewest,29337530.0,vanessa beecroft,Contemplation,24.11.2018,22:13:09,contemplation,contemplation,50,40,contemplation,-14.88
107,trying is lying - Dan Gilbert,10041.0,1581,169686021,ye,kanyewest,29337530.0,trying lying dan gilbert,Sadness,02.10.2018,18:28:42,sadness,sadness,20,40,sadness,-46.440000000000005
108,I would never intentionally try to hurt you bro     I never even heard none of the diss records      That ain’t my…,29937.0,5281,169686021,ye,kanyewest,29337530.0,would never intentionally try hurt bro never even heard none diss records aint,Pride,13.12.2018,21:01:15,pride,pride,65,70,pride,44.04
109,I’m the 2nd richest black man in America ... I need all my people with me for us to get free,0.0,0,169686021,ye,kanyewest,30911471.0,im nd richest black man america need people us get free,Neutral,15.09.2020,00:19:42,neutral,neutral,50,40,neutral,-14.88
110,The monster,27471.0,9918,169686021,,,,monster,Inspiration,22.01.2016,03:11:06,inspiration,inspiration,85,75,inspiration,71.27
111,Brain 🧠 joggers make another appearance,74885.0,6355,169686021,ye,kanyewest,29168096.0,brain joggers make another appearance,Neutral,14.12.2018,20:28:16,neutral,neutral,50,40,neutral,-14.38
112,Spaceship calling earth| 3 Domes Uganda,7702.0,2062,169686021,ye,kanyewest,29337530.0,spaceship calling earth domes uganda,Neutral,14.10.2018,14:01:53,neutral,neutral,50,40,neutral,-14.88
113,YZY GAP KIDS,12189.0,808,169686021,ye,kanyewest,30905763.0,yzy gap kids,Optimism,15.08.2020,04:05:01,optimism,optimism,80,65,optimism,53.129999999999995
114,"I open the debate… The 2nd verse of New Slaves is the best rap verse of all time….meaning … OF ALL TIME IN THE HISTORY OF RAP MUSIC, PERIOD",34587.0,56303,169686021,,,,open debate nd verse new slaves best rap verse timemeaning time history rap music period,Anger,20.07.2013,15:47:39,anger,anger,15,90,anger,18.200000000000003
115,Never threaten north saint and Chicago’s dad bro,37161.0,5479,169686021,ye,kanyewest,29337530.0,never threaten north saint chicagos dad bro,Neutral,14.12.2018,03:23:57,neutral,neutral,50,40,neutral,-14.88
116,Donda House 🙏👽👽,4933.0,441,169686021,ye,kanyewest,29337530.0,donda house,Inspiration,16.09.2018,17:09:05,inspiration,inspiration,85,75,inspiration,71.77
117,HI GUYS ... TRUST ME WE WILL NOT STOP ... HITBOY FIRST TO STAND UP ... I DIDN’T HAVE A PROBLEM WITH HIM PRODUCING F…,0.0,0,169686021,ye,kanyewest,30884583.0,hi guys trust stop hitboy first stand didnt problem producing f,Defiance,16.09.2020,17:25:53,defiance,defiance,40,85,defiance,37.809999999999995
118,90% of the record contracts on the planet are still on a royalty A standard record deal is a trap to NEVER have you…,105853.0,14137,169686021,ye,kanyewest,30982337.0,record contracts planet still royalty standard record deal trap never,Outrage,16.09.2020,17:39:39,outrage,outrage,10,95,outrage,19.630000000000003
119,I’m posting this to find who designed this bag    I love the whole vibe of this piece      Been trying to reach Joe…,19568.0,1703,169686021,,,,im posting find designed bag love whole vibe piece trying reach joe,Curiosity,28.08.2018,14:03:01,curiosity,curiosity,55,55,curiosity,13.450000000000001
120,"If I’d thought about it I never would’ve done it, I would’ve let it slide
If I’d lived my life by what others were…",57543.0,9097,169686021,ye,kanyewest,29460906.0,id thought never wouldve done wouldve let slide id lived life others,Sadness,17.12.2018,14:19:12,sadness,sadness,20,40,sadness,-46.440000000000005
121,# I’m bored  ### when you get married will your wife have a giant minnie mouse head? # This brightened up my day… thank you dead-mow-five,35981.0,17883,169686021,,,,im bored get married wife giant minnie mouse head brightened day thank deadmowfive,Joy,02.03.2016,18:37:48,joy,joy,90,80,joy,84.72
122,We need to show people we can talk without people ending up dead or in jail,24178.0,3459,169686021,ye,kanyewest,29337530.0,need show people talk without people ending dead jail,Calm,14.12.2018,03:09:52,calm,calm,75,25,calm,-8.15
123,Ok all music coming next,71570.0,5805,169686021,ye,kanyewest,30982337.0,ok music coming next,Confidence,16.09.2020,16:59:39,confidence,confidence,70,60,confidence,35.42000000000001
124,we got love,14231.0,1214,169686021,,,,got love,Love,30.04.2018,16:13:32,love,love,90,70,love,69.34000000000002
125,I'm turn the Grammys into the Yammys,80807.0,16173,169686021,ye,kanyewest,29337530.0,im turn grammys yammys,Pride,25.04.2018,15:59:03,pride,pride,65,70,pride,44.04
126,the universe has a plan. I knew that TMZ would be awesome.,27369.0,3073,169686021,ye,kanyewest,29337530.0,universe plan knew tmz would awesome,Neutral,01.05.2018,23:55:20,neutral,neutral,50,40,neutral,-14.88
127,Invite artwork by Nick Knight,45553.0,5191,169686021,ye,kanyewest,30760502.0,invite artwork nick knight,Neutral,17.11.2019,23:12:55,neutral,neutral,50,40,neutral,-14.88
128,"Shapiro starvingly accepts  $100,000 from one of my opponents then tries to trash me",54873.0,5300,169686021,ye,kanyewest,32258710.0,shapiro starvingly accepts one opponents tries trash,Anger,27.11.2022,22:56:49,anger,anger,15,90,anger,17.700000000000003
