,album_title,artist,labels,genres,critic_score,user_score,album_length,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_date_clean,year_x,album,year_y,theme,emotions,emotions_clean,avg_valence,avg_arousal,mania_index,depression_index,avg_valence_y,avg_arousal_y,mania_index_y,depression_index_y,track_emo_score,track_emo_score_v2
33,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",13,Diamonds from Sierra Leone (Remix),03:53,JAY-Z,96,3568,30.08.2005,2005,,,"['conflict', ' guilt', ' fame', ' responsibility']","['tension', ' remorse', ' pride', ' urgency']","['tension', 'remorse', 'pride', 'urgency']",38.29545454545455,55.0,68.3125,44.28125000000001,38.29545454545455,55.0,68.3125,44.28125000000001,-0.7207693181818179,31.150144797585217
34,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",14,We Major,07:28,"Nas, Really Doe",96,3674,30.08.2005,2005,Late Registration,2005.0,"['success', ' brotherhood', ' flourishing']","['confidence', ' egoism', ' aggression']","['confidence', 'egoism', 'aggression']",41.81818181818182,55.0,67.0,37.33333333333333,41.81818181818182,55.0,67.0,37.33333333333333,-0.22496969696969654,33.864
35,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",15,Skit #3,00:24,,76,1406,30.08.2005,2005,Late Registration,2005.0,['sample'],[''],[''],50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
36,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",16,Hey Mama,05:05,,95,3576,30.08.2005,2005,Late Registration,2005.0,"['motherhood', ' family', ' love', ' motivation']","['pride', ' love', ' remorse', ' sadness', ' affection', ' daydreaming']","['pride', 'love', 'remorse', 'sadness', 'affection', 'daydreaming']",50.46666666666667,62.5,78.54166666666667,31.187499999999996,50.46666666666667,62.5,78.54166666666667,31.187499999999996,7.087203333333336,51.52731848958334
37,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",17,Celebration,03:18,,87,3345,30.08.2005,2005,Late Registration,2005.0,"['celebration', ' joy', ' success', ' overcoming difficulties', '']","['joy', ' happiness', ' self-confidence']","['joy', 'happiness', 'self-confidence']",80.0,56.666666666666664,73.66666666666667,17.666666666666668,80.0,56.666666666666664,73.66666666666667,17.666666666666668,9.009777777777773,34.474444444444444
38,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",18,Skit #4,01:18,,82,1520,30.08.2005,2005,Late Registration,2005.0,['sample'],[''],[''],50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
39,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",19,Gone,05:33,"Consequence, Cam'ron",91,3373,30.08.2005,2005,Late Registration,2005.0,"['escape', ' freedom', ' escape from problems', ' liberation']","['impetuosity', ' melancholy', ' boredom']","['impetuosity', 'melancholy', 'boredom']",25.4,41.666666666666664,51.916666666666664,59.458333333333336,25.4,41.666666666666664,51.916666666666664,59.458333333333336,-6.711308148148152,-0.7447052083333388
40,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",20,Diamonds from Sierra Leone,03:58,,93,2991,30.08.2005,2005,Late Registration,2005.0,"['criticism', ' suffering for the sake of success', ' war', ' death']","['sadness', ' misunderstanding', ' hatred']","['sadness', 'misunderstanding', 'hatred']",34.48275862068966,48.333333333333336,57.50000000000001,50.83333333333333,34.48275862068966,48.333333333333336,57.50000000000001,50.83333333333333,-0.7474227330779042,12.315613026819932
41,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",21,Late,03:50,,91,3250,30.08.2005,2005,Late Registration,2005.0,"['growing up', ' the right path', ' pressure']","['fear', ' under pressure', ' not like everyone else', ' detachment']","['fear', 'under pressure', 'not like everyone else', 'detachment']",19.148936170212767,58.75,76.875,57.50000000000001,19.148936170212767,58.75,76.875,57.50000000000001,-4.653175531914893,40.760846077127646
42,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,1,Good Morning,03:15,,92,4649,11.09.2007,2007,Graduation,2007.0,"['new stage', ' overcoming difficulties', ' system']","['inspiration', ' aspiration', ' confidence']","['inspiration', 'aspiration', 'confidence']",70.92105263157895,63.333333333333336,78.91666666666667,25.791666666666664,70.92105263157895,63.333333333333336,78.91666666666667,25.791666666666664,17.646666666666672,44.269576937134495
43,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,2,Champion,02:47,,91,4588,11.09.2007,2007,Graduation,2007.0,"['self-aggrandizement', ' self-confidence', ' greatness', ' determination']","['self-aggrandizement', ' self-confidence', ' greatness', ' determination']","['self-aggrandizement', 'self-confidence', 'greatness', 'determination']",70.54347826086956,57.5,72.0625,21.53125,70.54347826086956,57.5,72.0625,21.53125,7.720322282608693,39.395813519021736
44,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,3,Stronger,05:11,,92,4674,11.09.2007,2007,Graduation,2007.0,"['perseverance', ' achieving goals', ' challenges', ' strength', ' innovations']","['oppression', ' energy', ' aggression', ' confidence']","['oppression', 'energy', 'aggression', 'confidence']",41.0,56.25,66.3125,39.65625,41.0,56.25,66.3125,39.65625,-0.12132499999999992,32.4231259765625
45,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,4,I Wonder,04:03,,95,4712,11.09.2007,2007,Graduation,2007.0,"['dreams', ' ambitions', ' doubts', ' self-discovery', ' comparison']","['self-doubt', ' doubt', ' reflection']","['self-doubt', 'doubt', 'reflection']",58.69047619047619,70.0,78.75000000000001,25.541666666666668,58.69047619047619,70.0,78.75000000000001,25.541666666666668,24.19560000000001,53.8487574404762
46,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,5,Good Life,03:27,T-Pain,89,4518,11.09.2007,2007,Graduation,2007.0,"['celebration', ' success', ' glory', ' enjoyment', ' status']","['self-admiration', ' self-confidence', ' self-love', ' egoism']","['self-admiration', 'self-confidence', 'self-love', 'egoism']",80.20833333333333,60.0,78.125,15.312500000000002,80.20833333333333,60.0,78.125,15.312500000000002,15.701125000000001,36.587988281250006
47,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,6,Can't Tell Me Nothing,04:31,,92,4603,11.09.2007,2007,Graduation,2007.0,"['ego', ' steadfastness', ' success', ' ignoring criticism', ' self-recognition']","['steadfastness', ' self-recognition', ' narcissism', ' confidence']","['steadfastness', 'self-recognition', 'narcissism', 'confidence']",35.0,61.25,75.6875,42.59375,35.0,61.25,75.6875,42.59375,7.89836945847e-16,45.9220166015625
48,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,7,Barry Bonds,03:24,Lil Wayne,74,4434,11.09.2007,2007,Graduation,2007.0,"['ego', ' steadfastness', ' success', ' self-recognition']","['steadfastness', ' self-recognition', ' narcissism', ' confidence']","['steadfastness', 'self-recognition', 'narcissism', 'confidence']",35.0,61.25,75.6875,42.59375,35.0,61.25,75.6875,42.59375,7.89836945847e-16,45.9220166015625
49,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,8,Drunk and Hot Girls,05:13,Mos Def,61,4503,11.09.2007,2007,Graduation,2007.0,"['alcohol', ' women', ' escapism']","['escapism', ' optimism', ' lust']","['escapism', 'optimism', 'lust']",65.26315789473684,63.333333333333336,76.33333333333333,25.666666666666664,65.26315789473684,63.333333333333336,76.33333333333333,25.666666666666664,14.858729044834305,46.43912280701755
50,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,9,Flashing Lights,03:57,Dwele,95,4701,11.09.2007,2007,Graduation,2007.0,"['relationships', ' fame', ' temptation', ' love', ' loneliness', ' pursuit of happiness']","['loneliness', ' effort', ' self-flagellation']","['loneliness', 'effort', 'self-flagellation']",50.0,41.666666666666664,52.66666666666667,44.583333333333336,50.0,41.666666666666664,52.66666666666667,44.583333333333336,-2.3659259259259273,2.254145833333333
51,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,10,Everything I Am,03:47,DJ Premier,91,4519,11.09.2007,2007,Graduation,2007.0,"['reflection', "" recognition of one's shortcomings"", ' personality', ' experience']","['vulnerability', ' sadness', ' introspection']","['vulnerability', 'sadness', 'introspection']",72.55813953488372,71.66666666666667,87.83333333333333,20.166666666666664,72.55813953488372,71.66666666666667,87.83333333333333,20.166666666666664,41.234450301464264,49.12480620155039
52,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,11,The Glory,03:32,,85,4372,11.09.2007,2007,Graduation,2007.0,"['triumph', ' greatness', ' overcoming difficulties', ' status', ' work']","['self-aggrandizement', ' pride', ' optimism']","['self-aggrandizement', 'pride', 'optimism']",75.1470588235294,56.666666666666664,70.91666666666669,17.958333333333336,75.1470588235294,56.666666666666664,70.91666666666669,17.958333333333336,7.752935076252719,36.286381740196084
53,Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,12,Homecoming,03:23,Chris Martin,93,4587,11.09.2007,2007,Graduation,2007.0,"['relationships', ' love', ' nostalgia', ' fame', ' exploitation']","['nostalgia', ' love', ' affection', ' grief']","['nostalgia', 'love', 'affection', 'grief']",63.06122448979592,61.25,73.25000000000001,23.687500000000004,63.06122448979592,61.25,73.25000000000001,23.687500000000004,10.580625000000001,45.01443726084185
